taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2881563	Quercus ballota Desf.	2881550	Quercus rotundifolia Lam.	207	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus rotundifolia	2881550	
2881725	Quercus lanata subsp. leiocarpa (A.Camus) Menitsky	2881725	Quercus lanata subsp. leiocarpa (A.Camus) Menitsky	13	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus lanata	2881720	
2880366	Quercus schottkyana Rehder & E.H.Wilson	2880366	Quercus schottkyana Rehder & E.H.Wilson	279	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus schottkyana	2880366	LC
6289757	Quercus cerris var. austriaca (Willd.) Loudon	2880580	Quercus cerris L.	47	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus cerris	2880580	
2880412	Quercus pilgeriana Seemen	2880406	Quercus corrugata Hook.	7	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus corrugata	2880406	
8007546	Cyclobalanopsis stenophylla var. stenophylloides (Hayata) J.C.Liao	2878109	Quercus stenophylloides Hayata	109	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus stenophylloides	2878109	
2879407	Cyclobalanopsis acuta (Thunb.) Oerst.	2876863	Quercus acuta Thunb.	186	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus acuta	2876863	
2881587	Cyclobalanopsis glauca (Thunb.) Oerst.	2876873	Quercus glauca Thunb.	4710	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus glauca	2876873	
3906516	Quercus yayeyamensis Koidz., 1918	3906516	Quercus yayeyamensis Koidz., 1918	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus yayeyamensis	3906516	
2880120	Quercus × tottenii Melvin	2880120	Quercus × tottenii Melvin	14	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus tottenii	2880120	
12378130	Quercus margaretta var. paludosa (Sarg.) Ashe	2879830	Quercus similis Ashe	15	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus similis	2879830	
